,Date,Time,year,month,day,longitude,name,lat,long
0,20050608,1800,2005,6,8,  84.0W,Arline,16.9,84
1,20050609,0,2005,6,9,  83.9W,Arline,17.4,83.9
2,20050609,600,2005,6,9,  83.9W,Arline,18.2,83.9
3,20050609,1200,2005,6,9,  84.0W,Arline,19,84
4,20050609,1800,2005,6,9,  84.1W,Arline,19.7,84.1
5,20050610,0,2005,6,10,  84.2W,Arline,20.4,84.2
6,20050610,600,2005,6,10,  84.4W,Arline,21.2,84.4
7,20050610,800,2005,6,10,  84.5W,Arline,21.8,84.5
8,20050610,1200,2005,6,10,  84.7W,Arline,23,84.7
9,20050610,1800,2005,6,10,  85.1W,Arline,24.9,85.1
10,20050611,0,2005,6,11,  85.6W,Arline,26.5,85.6
11,20050611,100,2005,6,11,  85.6W,Arline,26.5,85.6
12,20050611,600,2005,6,11,  86.8W,Arline,27.7,86.8
13,20050611,1200,2005,6,11,  87.2W,Arline,28.9,87.2
14,20050611,1800,2005,6,11,  87.5W,Arline,30.1,87.5
15,20050611,1900,2005,6,11,  87.5W,Arline,30.3,87.5
16,20050612,0,2005,6,12,  87.6W,Arline,31.4,87.6
17,20050612,600,2005,6,12,  87.7W,Arline,32.7,87.7
18,20050612,1200,2005,6,12,  88.0W,Arline,35,88
19,20050612,1800,2005,6,12,  87.8W,Arline,37,87.8
20,20050613,0,2005,6,13,  87.5W,Arline,38.5,87.5
21,20050613,600,2005,6,13,  86.0W,Arline,40.5,86
22,20050613,1200,2005,6,13,  85.0W,Arline,42,85
23,20050613,1800,2005,6,13,  84.0W,Arline,43,84
24,20050614,0,2005,6,14,  81.1W,Arline,43.7,81.1
25,20050614,600,2005,6,14,  77.6W,Arline,44.8,77.6
26,20050628,1800,2005,6,28,  95.4W,Bret,19.7,95.4
27,20050628,2235,2005,6,28,  95.7W,Bret,19.9,95.7
28,20050629,0,2005,6,29,  95.8W,Bret,20,95.8
29,20050629,600,2005,6,29,  96.4W,Bret,20.4,96.4
30,20050629,1200,2005,6,29,  97.3W,Bret,20.8,97.3
